ESTADO,CIDADE,ESTAÇÃO,TIPO,Certificação,STATUS,POLUENTES MONITORADOS,LATITUDE,LONGITUDE,FONTE
AM,Presidente Figueiredo,SEMA_DCAM_49,Automática,Não Certificada,Ativa,MP10,-2.04971,-60.00384,Consulta 2024
AM,Presidente Figueiredo,SEMA_DCAM_49,Automática,Não Certificada,Ativa,MP25,-2.04971,-60.00384,Consulta 2024
AM,Rio Preto da Eva,SEMA_DCAM_50,Automática,Não Certificada,Ativa,MP10,-2.69625,-59.70243,Consulta 2024
AM,Rio Preto da Eva,SEMA_DCAM_51,Automática,Não Certificada,Ativa,MP25,-2.69625,-59.70243,Consulta 2024
AM,São Sebastião do Uatumã,SEMA_DCAM_55,Automática,Não Certificada,Ativa,MP10,-2.56276,-57.87267,Consulta 2024
AM,São Sebastião do Uatumã,SEMA_DCAM_56,Automática,Não Certificada,Ativa,MP25,-2.56276,-57.87267,Consulta 2024
AM,Urucará,SEMA_DCAM_02,Automática,Não Certificada,Ativa,MP10,-2.53746,-57.76173,Consulta 2024
AM,Urucará,SEMA_DCAM_03,Automática,Não Certificada,Ativa,MP25,-2.53746,-57.76173,Consulta 2024
AM,Boa vista do Ramos,SEMA_DCAM_21,Automática,Não Certificada,Ativa,MP10,-2.96788,-57.58712,Consulta 2024
AM,Boa vista do Ramos,SEMA_DCAM_21,Automática,Não Certificada,Ativa,MP25,-2.96788,-57.58712,Consulta 2024
AM,Apuí,SEMA_DCAM_04,Automática,Não Certificada,Ativa,MP10,-7.19987,-59.89182,Consulta 2024
AM,Apuí,SEMA_DCAM_04,Automática,Não Certificada,Ativa,MP25,-7.19987,-59.89182,Consulta 2024
AM,Jutaí,SEMA_DCAM_41,Automática,Não Certificada,Ativa,MP10,-2.75073,-66.77544,Consulta 2024
AM,Jutaí,SEMA_DCAM_41,Automática,Não Certificada,Ativa,MP25,-2.75073,-66.77544,Consulta 2024
AM,Manicoré,SEMA_DCAM_11,Automática,Não Certificada,Ativa,MP10,-5.82347,-61.29023,Consulta 2024
AM,Manicoré,SEMA_DCAM_11,Automática,Não Certificada,Ativa,MP25,-5.82347,-61.29023,Consulta 2024
AM,Autazes,SEMA_DCAM_08,Automática,Não Certificada,Ativa,MP10,-3.57962,-59.13985,Consulta 2024
AM,Autazes,SEMA_DCAM_08,Automática,Não Certificada,Ativa,MP25,-3.57962,-59.13985,Consulta 2024
AM,Careiro Castanho,SEMA_DCAM_10,Automática,Não Certificada,Ativa,MP10,-3.82323,-60.36468,Consulta 2024
AM,Careiro Castanho,SEMA_DCAM_10,Automática,Não Certificada,Ativa,MP25,-3.82323,-60.36468,Consulta 2024
AM,Humaitá,SEMA_03,Automática,Não Certificada,Ativa,MP10,-7.50675,-63.02634,Consulta 2024
AM,Humaitá,SEMA_03,Automática,Não Certificada,Ativa,MP25,-7.50675,-63.02634,Consulta 2024
AM,Itapiranga,SEMA_DCAM_38,Automática,Não Certificada,Ativa,MP10,-2.74697,-58.02155,Consulta 2024
AM,Itapiranga,SEMA_DCAM_38,Automática,Não Certificada,Ativa,MP25,-2.74697,-58.02155,Consulta 2024
AM,Manaquiri,SEMA_DCAM_09,Automática,Não Certificada,Ativa,MP10,-3.42988,-60.46015,Consulta 2024
AM,Manaquiri,SEMA_DCAM_09,Automática,Não Certificada,Ativa,MP25,-3.42988,-60.46015,Consulta 2024
AM,Maraã,SEMA_DCAM_03,Automática,Não Certificada,Ativa,MP10,-1.85966,-65.58987,Consulta 2024
AM,Maraã,SEMA_DCAM_03,Automática,Não Certificada,Ativa,MP25,-1.85966,-65.58987,Consulta 2024
AM,Tabatinga,SEMA_DCAM_57,Automática,Não Certificada,Ativa,MP10,-4.22529,-69.93498,Consulta 2024
AM,Tabatinga,SEMA_DCAM_57,Automática,Não Certificada,Ativa,MP25,-4.22529,-69.93498,Consulta 2024
AM,Carauari,SEMA_DCAM_25,Automática,Não Certificada,Ativa,MP10,-4.87374,-66.90288,Consulta 2024
AM,Carauari,SEMA_DCAM_25,Automática,Não Certificada,Ativa,MP25,-4.87374,-66.90288,Consulta 2024
AM,Japurá,SEMA_DCAM_39,Automática,Não Certificada,Ativa,MP10,-1.87908,-66.99667,Consulta 2024
AM,Japurá,SEMA_DCAM_39,Automática,Não Certificada,Ativa,MP25,-1.87908,-66.99667,Consulta 2024
AM,Tapauá,SEMA_DCAM_58,Automática,Não Certificada,Ativa,MP10,-5.62696,-63.18686,Consulta 2024
AM,Tapauá,SEMA_DCAM_58,Automática,Não Certificada,Ativa,MP25,-5.62696,-63.18686,Consulta 2024
AM,Manaus,SEMA,Automática,Não Certificada,Ativa,MP10,-3.08212,-60.02325,Consulta 2024
AM,Manaus,SEMA,Automática,Não Certificada,Ativa,MP25,-3.08212,-60.02325,Consulta 2024
AM,Silves,SEMA_DCAM_56,Automática,Não Certificada,Ativa,MP10,-2.83611,-58.21632,Consulta 2024
AM,Silves,SEMA_DCAM_56,Automática,Não Certificada,Ativa,MP25,-2.83611,-58.21632,Consulta 2024
AM,Novo Aripuanã,SEMA_DCAM_05,Automática,Não Certificada,Ativa,MP10,-5.12504,-60.37552,Consulta 2024
AM,Novo Aripuanã,SEMA_DCAM_05,Automática,Não Certificada,Ativa,MP25,-5.12504,-60.37552,Consulta 2024
AM,Manacapuru,SEMA_DCAM_42,Automática,Não Certificada,Ativa,MP10,-3.30181,-60.62059,Consulta 2024
AM,Manacapuru,SEMA_DCAM_42,Automática,Não Certificada,Ativa,MP25,-3.30181,-60.62059,Consulta 2024
AM,Iranduba,SEMA_DCAM_35,Automática,Não Certificada,Ativa,MP10,-3.27366,-60.17769,Consulta 2024
AM,Iranduba,SEMA_DCAM_35,Automática,Não Certificada,Ativa,MP25,-3.27366,-60.17769,Consulta 2024
AM,Maués,SEMA_DCAM_01,Automática,Não Certificada,Ativa,MP10,-3.38173,-57.7152,Consulta 2024
AM,Maués,SEMA_DCAM_01,Automática,Não Certificada,Ativa,MP25,-3.38173,-57.7152,Consulta 2024
AM,UarinÍ,SEMA_DCAM_61,Automática,Não Certificada,Ativa,MP10,-2.9843,-65.15547,Consulta 2024
AM,UarinÍ,SEMA_DCAM_61,Automática,Não Certificada,Ativa,MP25,-2.9843,-65.15547,Consulta 2024
AM,Amaturá,SEMA_DCAM_13,Automática,Não Certificada,Ativa,MP10,-3.36496,-68.19907,Consulta 2024
AM,Amaturá,SEMA_DCAM_13,Automática,Não Certificada,Ativa,MP25,-3.36496,-68.19907,Consulta 2024
AM,Fonte Boa,SEMA_DCAM_31,Automática,Não Certificada,Ativa,MP10,-2.5268,-66.0881,Consulta 2024
AM,Fonte Boa,SEMA_DCAM_31,Automática,Não Certificada,Ativa,MP25,-2.5268,-66.0881,Consulta 2024
AM,Codajás,SEMA_DCAM_28,Automática,Não Certificada,Ativa,MP10,-3.83589,-62.06014,Consulta 2024
AM,Codajás,SEMA_DCAM_28,Automática,Não Certificada,Ativa,MP25,-3.83589,-62.06014,Consulta 2024
AM,Coari,SEMA_DCAM_27,Automática,Não Certificada,Ativa,MP10,-4.10964,-63.14509,Consulta 2024
AM,Coari,SEMA_DCAM_27,Automática,Não Certificada,Ativa,MP25,-4.10964,-63.14509,Consulta 2024
AM,Anori,SEMA_DCAM_15,Automática,Não Certificada,Ativa,MP10,-3.74427,-61.6567,Consulta 2024
AM,Anori,SEMA_DCAM_15,Automática,Não Certificada,Ativa,MP25,-3.74427,-61.6567,Consulta 2024
AM,Anamã,SEMA_DCAM_14,Automática,Não Certificada,Ativa,MP10,-3.58102,-61.40559,Consulta 2024
AM,Anamã,SEMA_DCAM_14,Automática,Não Certificada,Ativa,MP25,-3.58102,-61.40559,Consulta 2024
AM,Beruri,SEMA_DCAM_20,Automática,Não Certificada,Ativa,MP10,-3.90147,-61.37331,Consulta 2024
AM,Beruri,SEMA_DCAM_20,Automática,Não Certificada,Ativa,MP25,-3.90147,-61.37331,Consulta 2024
AM,Caapiranga,SEMA_DCAM_23,Automática,Não Certificada,Ativa,MP10,-3.32508,-61.21287,Consulta 2024
AM,Caapiranga,SEMA_DCAM_23,Automática,Não Certificada,Ativa,MP25,-3.32508,-61.21287,Consulta 2024
AM,Borba,SEMA_DCAM_22,Automática,Não Certificada,Ativa,MP10,-4.3939,-59.59341,Consulta 2024
AM,Borba,SEMA_DCAM_22,Automática,Não Certificada,Ativa,MP25,-4.3939,-59.59341,Consulta 2024
AM,Nova Olinda do Norte,SEMA_DCAM_45,Automática,Não Certificada,Ativa,MP10,-3.90224,-59.08877,Consulta 2024
AM,Nova Olinda do Norte,SEMA_DCAM_45,Automática,Não Certificada,Ativa,MP25,-3.90224,-59.08877,Consulta 2024
AM,Urucurituba,SEMA_DCAM_62,Automática,Não Certificada,Ativa,MP10,-3.13271,-58.15683,Consulta 2024
AM,Urucurituba,SEMA_DCAM_62,Automática,Não Certificada,Ativa,MP25,-3.13271,-58.15683,Consulta 2024
AM,Barreirinha,SEMA_DCAM_18,Automática,Não Certificada,Ativa,MP10,-2.79876,-57.06487,Consulta 2024
AM,Barreirinha,SEMA_DCAM_18,Automática,Não Certificada,Ativa,MP25,-2.79876,-57.06487,Consulta 2024
AM,Nhamundá,SEMA_DCAM_44,Automática,Não Certificada,Ativa,MP10,-2.19655,-56.71235,Consulta 2024
AM,Nhamundá,SEMA_DCAM_44,Automática,Não Certificada,Ativa,MP25,-2.19655,-56.71235,Consulta 2024
AM,Tonantins,SEMA_DCAM_60,Automática,Não Certificada,Ativa,MP10,-2.86639,-67.7842,Consulta 2024
AM,Tonantins,SEMA_DCAM_60,Automática,Não Certificada,Ativa,MP25,-2.86639,-67.7842,Consulta 2024
AM,Santo Antônio do Içá,SEMA_DCAM_52,Automática,Não Certificada,Ativa,MP10,-3.09921,-67.94507,Consulta 2024
AM,Santo Antônio do Içá,SEMA_DCAM_52,Automática,Não Certificada,Ativa,MP25,-3.09921,-67.94507,Consulta 2024
AM,São Paulo de Olivença,SEMA_DCAM_54,Automática,Não Certificada,Ativa,MP10,-3.47376,-68.9315,Consulta 2024
AM,São Paulo de Olivença,SEMA_DCAM_54,Automática,Não Certificada,Ativa,MP25,-3.47376,-68.9315,Consulta 2024
AM,Benjamin Constant,SEMA_DCAM_19,Automática,Não Certificada,Ativa,MP10,-4.38889,-70.02422,Consulta 2024
AM,Benjamin Constant,SEMA_DCAM_19,Automática,Não Certificada,Ativa,MP25,-4.38889,-70.02422,Consulta 2024
AM,Boca do Acre,SEMA_DCAM_07,Automática,Não Certificada,Ativa,MP10,-8.75385,-67.39748,Consulta 2024
AM,Boca do Acre,SEMA_DCAM_07,Automática,Não Certificada,Ativa,MP25,-8.75385,-67.39748,Consulta 2024
AM,Santo Antônio do Matupi,SEMA_DCAM_06,Automática,Não Certificada,Ativa,MP10,-7.92835,-61.57101,Consulta 2024
AM,Santo Antônio do Matupi,SEMA_DCAM_06,Automática,Não Certificada,Ativa,MP25,-7.92835,-61.57101,Consulta 2024
AM,Pauini,SEMA_DCAM_48,Automática,Não Certificada,Ativa,MP10,-7.71498,-67.00154,Consulta 2024
AM,Pauini,SEMA_DCAM_48,Automática,Não Certificada,Ativa,MP25,-7.71498,-67.00154,Consulta 2024
AM,Juruá,SEMA_DCAM_40,Automática,Não Certificada,Ativa,MP10,-3.47113,-66.06213,Consulta 2024
AM,Juruá,SEMA_DCAM_40,Automática,Não Certificada,Ativa,MP25,-3.47113,-66.06213,Consulta 2024
CE,São Gonçalo do Amarante,EFPECEM,Automática,Certificada,Inativa,O3,-3.55599,-38.83671,Consulta 2024
