,Estado,Ref_Area,Ind_Area,Estado_Area,Ref_%,Ind_%
0,BR.AC,0.0,1408.8584161328201,158975.73949367105,0.0,0.8862096950263961
1,BR.AL,0.0,0.0,29010.041330837415,0.0,0.0
2,BR.AP,0.0,78.41371226364846,142329.9164100105,0.0,0.0550929237095606
3,BR.AM,0.0,3514.23799687172,1597418.7282164334,0.0,0.21999479127150795
4,BR.BA,548.8287057444919,0.0,576107.6137242224,0.09526496311975688,0.0
5,BR.CE,0.0,0.0,153508.16438676373,0.0,0.0
6,BR.DF,445.1974656664836,0.0,5834.986421888329,7.629794372724659,0.0
7,BR.ES,565.8185200461928,0.0,44823.55207109859,1.262324144121149,0.0
8,BR.GO,0.0,156.8274245273043,341436.3624133673,0.0,0.045931670375938975
9,BR.MA,591.8378012711597,398.69397274742784,334195.9165096097,0.1770930678783867,0.11929947466487476
10,BR.MT,0.0,200.608262274038,906118.4011894681,0.0,0.022139299015525797
11,BR.MS,214.17545724102774,0.0,357211.3052055675,0.05995763687203974,0.0
12,BR.MG,2418.1885236822395,0.0,596515.5537492711,0.4053856615277225,0.0
13,BR.PA,235.24113679094535,174.19068832852983,1250260.8726864518,0.018815364211588873,0.013932347411164201
14,BR.PB,0.0,0.0,58891.3261118917,0.0,0.0
15,BR.PR,674.2353556544087,0.0,199356.89382997213,0.338205187039808,0.0
16,BR.PE,242.92096895672157,0.0,102045.7974559202,0.23805092910529113,0.0
17,BR.PI,0.0,0.0,255785.77724383748,0.0,0.0
18,BR.RJ,4710.764361208255,0.0,44431.11790913552,10.602398910696033,0.0
19,BR.RN,0.0,0.0,55676.180346633584,0.0,0.0
20,BR.RS,380.50145991520105,0.0,271521.57314196124,0.14013673223536505,0.0
21,BR.RO,0.0,0.0,239190.11058262436,0.0,0.0
22,BR.RR,0.0,0.0,226309.9252503076,0.0,0.0
23,BR.SC,173.20804507883085,85.14489762310323,98814.4919852573,0.1752860755532425,0.08616640728751254
24,BR.SP,4169.645786537917,0.0,248600.28339059348,1.6772490077924376,0.0
25,BR.SE,0.0,0.0,22922.18099532777,0.0,0.0
26,BR.TO,0.0,0.0,278996.82752805337,0.0,0.0
